,V Mag. (mV),Proper name,Bayer designation,Distance (ly),Spectral class,Mass (M☉),Radius (R☉),Luminosity (L☉)
0,0.000−26.74,Sun,,0.000015813,G2,1,1,1
1,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71´,25.4
2,0.003−0.74,Canopus,α Car,0310,A9,15,71,13500
3,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
4,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
5,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
6,0.08,Capella,α Aur,0043,G8,2.6,12,150
7,0.13,Rigel,β Ori,0860,B8,23,78.9,120000
8,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
9, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,60000
10,0.46,Achernar,α Eri,0144,B3,6.7,9.3,3000
11,0.61,Hadar,β Cen,0390,B1,10.5,8.6,42000
12,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
13,0.76,Acrux,α Cru,0320,B0.5,18,8.9,25000
14,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
15,0.96,Antares,α Sco,0600,M1.5,12,680,75000
16,0.97,Spica,α Vir,0260,B1,11.43,7.47,20512
17,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
18,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
19,1.25,Deneb,α Cyg,2600,A2,19,203,200000
20,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,34000
21,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
22,1.50,Adhara,ε CMa,0430,B2,12.5,14,39000
23,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,36000
24,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
25,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
26,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,9200
27,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
28,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
29,1.69,Alnilam,ε Ori,2000,B0,32,42,380000
30,1.72,Gamma Velorum,γ12 Vel,01100,WC8,9.0,6,170000
31,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
32,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
33,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,120000
34,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
35,1.80,Mirfak,α Per,0590,F5,8.5,68,5000
36,1.82,Wezen,δ CMa,1600,F8,17,200,82000
37,1.84,Sargas,θ Sco,0270,F0,5.7,26,1800
38,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
39,1.86,Avior,ε Car,0630,K3,9.0,130,60000
40,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,1350
41,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
42,1.91,Atria,α TrA,0390,K2,7,92,5500
43,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
44,1.94,Peacock,α Pav,0180,B3,5.9,4.8,2200
45,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
46,1.98,Mirzam,β CMa,0500,B1,13.5,10,27000
47,1.98,Polaris,α UMi,0430,F8,5.4,39,2500
48,2.00,Alphard,α Hya,0180,K3,3.0,50,780
49,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,190000
50,2.42,Scheat,β Peg,0196,M2.5,2.1,95,1500
51,2.98,Almaaz,ε Aur,0653,F0,15,140,43000
52,3.35,Rasalgethi,α Her,0360,M5,2.8,280,8300
53,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
54,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
55,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
56,3.83,V382 Carinae,Car,08900,G2,20,485,212000
57,4,Eta Carinae,η Car,07500,O,100,60–881,5000000
58,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,2000
59,4.08,Mu Cephei,μ Cep,06000,M2,19.2,972,135000
